Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;Localita;forma_vendita_edicole;vendita_esclusiva;MUNICIPIO;LONGIT;LATIT;Location
C-ED/2259;Via MORGANTINI MARIO N. 15 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via MORGANTINI MARIO;15;6568;;rivendita in supermercato;No;7;9.13411754707;45.4697367069;45.4697367069, 9.13411754707
C-ED/2260;Via MAC MAHON N. 128 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via MAC MAHON;128;7221;;rivendita in supermercato;No;8;9.15346834634;45.4975026094;45.4975026094, 9.15346834634
C-ED/2261;Via TRILUSSA num.024| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via TRILUSSA;;7367;NUM.024|;rivendita in supermercato;No;;;;
C-ED/2262;Via PEZZOTTI GIOVANNI ang. via s. ampelio (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Via PEZZOTTI GIOVANNI;;5244;ang. Via S. Ampelio;rivendita in supermercato;No;;;;
C-ED/2263;Via LOSANNA num.020/22| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via LOSANNA;;7190;NUM.020/22|;rivendita in supermercato;No;;;;
C-ED/2264;Via FORZE ARMATE (DELLE) N. 199 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via FORZE ARMATE (DELLE);199;6643;;rivendita in supermercato;No;7;9.11173902492;45.4602582763;45.4602582763, 9.11173902492
C-ED/2265;Via TOSCOLANO N. 7 ang. piazza ovidio (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via TOSCOLANO;7;3362;ang. Piazza Ovidio;rivendita in supermercato;No;4;9.24248162496;45.4582568684;45.4582568684, 9.24248162496
C-ED/2403;Via ORTI N. 12 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via ORTI;12;4031;;rivendita in negozio;No;1;9.20033530286;45.4549519013;45.4549519013, 9.20033530286
C-ED/2412;Corso INDIPENDENZA N. 5 (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Corso INDIPENDENZA;5;3118;;rivendita in negozio;No;3;9.21203668974;45.4683026055;45.4683026055, 9.21203668974
C-ED/2416;Via COMPAGNI DINO N. 2 (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Via COMPAGNI DINO;2;2203;;rivendita in negozio;No;3;9.22553502576;45.4800336325;45.4800336325, 9.22553502576
C-ED/2419;Via PARUTA PAOLO N. 29 (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Via PARUTA PAOLO;29;2363;;rivendita in negozio;No;2;9.23594462297;45.5019847401;45.5019847401, 9.23594462297
C-ED/665;Corso BUENOS AIRES N. 9 (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Corso BUENOS AIRES;9;2129;;edicola su suolo pubblico;Si;3;9.20674553964;45.4764351436;45.4764351436, 9.20674553964
C-ED/674;Piazza CINQUE GIORNATE ang. viale premuda (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Piazza CINQUE GIORNATE;;3053;ANG. VIALE PREMUDA;edicola su suolo pubblico;Si;;;;
C-ED/2613;MM3-BRENTA (z.d. 4);AREE PUBBLICHE - Giornali e riviste;;;;;rivendita in stazione metrop.;Si;;;;
C-ED/2617;Via NOVARA N. 86 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via NOVARA;86;6624;;rivendita in supermercato;No;7;9.12060188917;45.4721594539;45.4721594539, 9.12060188917
C-ED/2621;Via LECCHI ANTONIO N. 20 ingresso viale liguria 39 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via LECCHI ANTONIO;20;5263;ingresso Viale Liguria 39;rivendita in negozio;Si;6;9.1737904443;45.4439973597;45.4439973597, 9.1737904443
C-ED/2623;Via PALIZZI FILIPPO N. 69 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via PALIZZI FILIPPO;69;7451;;rivendita in supermercato;No;8;9.13803241329116;45.5073925941426;45.5073925941426, 9.13803241329116
C-ED/2640;Via BARTOLOMEO D'ALVIANO N. 78 int. ist. radaelli| (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via BARTOLOMEO D'ALVIANO;78;6612;int. ist. radaelli|;rivendita in ospedale;No;6;9.13815810682;45.4595933322;45.4595933322, 9.13815810682
C-ED/2645;Via PIERLUIGI GIOVANNI DA PALESTRINA N. 9 (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Via PIERLUIGI GIOVANNI DA PALESTRINA;9;2235;;rivendita in negozio;Si;3;9.21363398567;45.4852113949;45.4852113949, 9.21363398567
C-ED/2652;Via ROSSI PELLEGRINO N. 90 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via ROSSI PELLEGRINO;90;1510;;rivendita in negozio;Si;9;9.17311258803;45.5149311096;45.5149311096, 9.17311258803
C-ED/2662;Via FORTIGUERRA NICOLO' N. 12 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via FORTIGUERRA NICOLO';12;1439;;edicola su suolo privato;Si;9;9.20830619088;45.5141183919;45.5141183919, 9.20830619088
C-ED/2664;Via GALVANI LUIGI N. 15 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via GALVANI LUIGI;15;1179;;rivendita in negozio;No;9;9.19835872139897;45.486741194252;45.486741194252, 9.19835872139897
C-ED/2666;Via SAINT BON SIMONE N. 20 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via SAINT BON SIMONE;20;6670;;rivendita in ospedale;No;7;9.12140230038992;45.4587375147393;45.4587375147393, 9.12140230038992
C-ED/2667;PIAZZALE MACIACHINI CARLO fr. civ. 18 ang. via imbonati (z.d. 9);AREE PUBBLICHE - Giornali e riviste;PIAZZALE MACIACHINI CARLO;;1361;fr. civ. 18 ang. via imbonati;edicola su suolo pubblico;Si;;;;
C-ED/2679;Via DE NICOLA ENRICO civ. 8/10| (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via DE NICOLA ENRICO;;5430;civ. 8/10|;edicola su suolo pubblico;Si;;;;
C-ED/2683;VIA ASTESANI ALESSANDRO N. 17 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;VIA ASTESANI ALESSANDRO;17;1558;;rivendita in negozio;Si;9;9.17100480683;45.5175677475;45.5175677475, 9.17100480683
C-ED/2701;codvia 9307 mm3 sondri| (z.d. 2);AREE PUBBLICHE - Giornali e riviste;;;;CODVIA 9307 mm3 sondri|;rivendita in stazione metrop.;Si;;;;
C-ED/2703;VIA TANGENZIALE EST cascina gobba est (z.d. 3);AREE PUBBLICHE - Giornali e riviste;VIA TANGENZIALE EST;;8501;CASCINA GOBBA EST;rivendita in area di servizio;No;;;;
C-ED/2707;MM2-CASCINA GOBBA (z.d. 2);AREE PUBBLICHE - Giornali e riviste;;;;;rivendita in stazione metrop.;Si;;;;
C-ED/2713;mm2 - abbiategrasso (z.d. 5);AREE PUBBLICHE - Giornali e riviste;;;;MM2 - ABBIATEGRASSO;rivendita in stazione metrop.;Si;;;;
C-ED/2422;Via SPARTACO N. 2 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via SPARTACO;2;3186;;rivendita in negozio;No;4;9.20765466006;45.4594785638;45.4594785638, 9.20765466006
C-ED/2425;Via BROGGINI BONAVENTURA N. 3 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via BROGGINI BONAVENTURA;3;6700;;rivendita in negozio;No;7;9.09258899794;45.4638750083;45.4638750083, 9.09258899794
C-ED/2726;Corso PORTA VITTORIA (DI) N. 46 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Corso PORTA VITTORIA (DI);46;3016;;rivendita in negozio;Si;1;9.20504130041;45.4621237243;45.4621237243, 9.20504130041
C-ED/376;PIAZZA FONTANA alt. civ. 6 ang. via larga| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;PIAZZA FONTANA;;308;alt. civ. 6 ang. via larga|;edicola su suolo pubblico;Si;;;;
C-ED/377;Via AMPELLIO (SANT') N. 3 (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Via AMPELLIO (SANT');3;5253;;edicola su suolo pubblico;Si;5;9.1840947622;45.4389810877;45.4389810877, 9.1840947622
C-ED/379;Via CONTE ROSSO N. 9 ang. via rimembranze di lambrate| (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Via CONTE ROSSO;9;2667;ang. Via Rimembranze di Lambrate|;;Si;3;9.24244274493;45.482089585;45.482089585, 9.24244274493
C-ED/381;PIAZZA MONTE TITANO N. 4 ang. via ronchi (z.d. 3);AREE PUBBLICHE - Giornali e riviste;PIAZZA MONTE TITANO;4;2654;ang. Via Ronchi;edicola su suolo pubblico;Si;3;9.23776889832;45.4865432072;45.4865432072, 9.23776889832
C-ED/383;Largo VULCI ang. via veglia 44| (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Largo VULCI;;1339;ang. via veglia 44|;edicola su suolo pubblico;Si;;;;
C-ED/114;Via COMPAGNONI GIUSEPPE N. 24 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via COMPAGNONI GIUSEPPE;24;3096;;rivendita in negozio;Si;4;9.22162376755;45.4653534876;45.4653534876, 9.22162376755
C-ED/115;Via ROVELLO N. 8 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via ROVELLO;8;722;;rivendita in negozio;Si;1;9.18468038174;45.4670371619;45.4670371619, 9.18468038174
C-ED/118;Via MAMIANI TERENZIO N. 1 (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Via MAMIANI TERENZIO;1;2338;;rivendita in negozio;Si;2;9.23112877847;45.4974561997;45.4974561997, 9.23112877847
C-ED/119;Piazza BRUZZANO N. 5 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Piazza BRUZZANO;5;1655;;rivendita in negozio;Si;9;9.17361676839;45.527231187;45.527231187, 9.17361676839
C-ED/120;Piazzale SIENA N. 4 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Piazzale SIENA;4;6616;;rivendita in negozio;Si;7;9.13625453546;45.4655174988;45.4655174988, 9.13625453546
C-ED/122;Via MONTE SAN GABRIELE N. 1 (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Via MONTE SAN GABRIELE;1;2481;;rivendita in negozio;Si;2;9.22271804562;45.504999188;45.504999188, 9.22271804562
C-ED/129;Viale CATERINA DA FORLI' N. 36 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Viale CATERINA DA FORLI';36;6611;;rivendita in negozio;Si;7;9.14234728389;45.4608529524;45.4608529524, 9.14234728389
C-ED/131;Via NOVARA N. 15 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via NOVARA;15;6624;;rivendita in supermercato;Si;7;9.12793645192;45.4683433378;45.4683433378, 9.12793645192
C-ED/137;Viale FAMAGOSTA N. 2 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Viale FAMAGOSTA;2;5353;;rivendita in negozio;Si;6;9.15508472665;45.4368146625;45.4368146625, 9.15508472665
C-ED/1852;Via SODERINI LUIGI N. 55 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via SODERINI LUIGI;55;6675;;rivendita in negozio;Si;6;9.13430513933;45.4540824592;45.4540824592, 9.13430513933
C-ED/1853;Viale ZARA N. 23 ang. viale stelvio (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Viale ZARA;23;1170;ang. Viale Stelvio;edicola su suolo pubblico;Si;9;9.19230726596;45.492399732;45.492399732, 9.19230726596
C-ED/1859;Via BENACO ang. via tagliamento| (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via BENACO;;4143;ang. via tagliamento|;edicola su suolo pubblico;Si;;;;
C-ED/1860;VIA OREFICI ang. passaggio osii (z.d. 1);AREE PUBBLICHE - Giornali e riviste;VIA OREFICI;;547;ang. passaggio osii;edicola su suolo pubblico;Si;;;;
C-ED/1875;VIA GIARDINI (DEI) fr. via croce rossa| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;VIA GIARDINI (DEI);;141;fr. via croce rossa|;edicola su suolo pubblico;Si;;;;
C-ED/385;Via FORZE ARMATE (DELLE) N. 351 fronte numero civico 346/351 (parterre centrale) (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via FORZE ARMATE (DELLE);351;6643;fronte numero civico 346/351 (parterre centrale);edicola su suolo pubblico;Si;7;9.09631927664;45.4599661346;45.4599661346, 9.09631927664
C-ED/386;PIAZZA DUOMO (DEL) fr. civ. 19 ang. via mengoni (z.d. 1);AREE PUBBLICHE - Giornali e riviste;PIAZZA DUOMO (DEL);;1;fr. civ. 19 ang. via Mengoni;edicola su suolo pubblico;Si;;;;
C-ED/391;Via CANOVA ANTONIO num.027/29| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via CANOVA ANTONIO;;7238;NUM.027/29|;edicola su suolo pubblico;Si;;;;
C-ED/392;Piazza ANGELO (SANT') num.000 ang. via della moscova| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Piazza ANGELO (SANT');;1065;NUM.000 ang. via della moscova|;edicola su suolo pubblico;Si;;;;
C-ED/393;Via LORENTEGGIO N. 209 fr. civ. 238 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via LORENTEGGIO;209;5132;fr. civ. 238;edicola su suolo pubblico;Si;6;9.12499281485;45.4460407777;45.4460407777, 9.12499281485
C-ED/394;Via SOLARI ANDREA ang. via coni zugna| (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via SOLARI ANDREA;;5111;ang. via coni zugna|;edicola su suolo pubblico;Si;;;;
C-ED/399;Via PECORARI FRANCESCO num.000 ang. via rastrelli| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via PECORARI FRANCESCO;;323;NUM.000 ang. via rastrelli|;edicola su suolo pubblico;Si;;;;
C-ED/403;Piazza BABILA (SAN) num.000 angolo monforte| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Piazza BABILA (SAN);;216;NUM.000 angolo monforte|;edicola su suolo pubblico;Si;;;;
C-ED/406;Via ARCIVESCOVADO (DELL') N. 1 ang. via camposanto (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via ARCIVESCOVADO (DELL');1;309;ang. via Camposanto;edicola su suolo pubblico;Si;1;9.1932573853;45.4638452346;45.4638452346, 9.1932573853
C-ED/407;CORSO BUENOS AIRES N. 30 ang. via broggi| (z.d. 3);AREE PUBBLICHE - Giornali e riviste;CORSO BUENOS AIRES;30;2129;ang. via Broggi|;edicola su suolo pubblico;Si;3;9.20919349069;45.4783446276;45.4783446276, 9.20919349069
C-ED/408;VIA OLONA N. 25 ang. via ariberto| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;VIA OLONA;25;5090;ang. via ariberto|;edicola su suolo pubblico;Si;1;9.17119220385159;45.4595868581695;45.4595868581695, 9.17119220385159
C-ED/410;Via NEERA ANNA num.000 angolo via montegani 35| (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Via NEERA ANNA;;5326;NUM.000 angolo via montegani 35|;edicola su suolo pubblico;Si;;;;
C-ED/411;Viale MONTE NERO N. 48 ang. via bergamo| (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Viale MONTE NERO;48;3062;ang. via bergamo|;edicola su suolo pubblico;Si;4;9.20602032605;45.4578607371;45.4578607371, 9.20602032605
C-ED/412;VIA BATTISTOTTI SASSI LUISA N. 28 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;VIA BATTISTOTTI SASSI LUISA;28;3273;;edicola su suolo pubblico;Si;4;9.2278080276;45.4647253969;45.4647253969, 9.2278080276
C-ED/413;Via PATELLANI CARLO ang. viale bligny lato civ. dispari (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Via PATELLANI CARLO;;4009;ang. Viale Bligny lato civ. dispari;edicola su suolo pubblico;Si;;;;
C-ED/2268;Via LORENTEGGIO N. 230 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via LORENTEGGIO;230;5132;;rivendita in supermercato;No;6;9.12494984372;45.4464879279;45.4464879279, 9.12494984372
C-ED/2269;Via LEGNONE N. 3 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via LEGNONE;3;1298;;rivendita in supermercato;No;9;9.18155614341;45.4982919068;45.4982919068, 9.18155614341
C-ED/2270;Via WASHINGTON GIORGIO N. 55 ang. via digione| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via WASHINGTON GIORGIO;55;6111;ang. via digione|;rivendita in supermercato;No;7;9.15509058541;45.4600585271;45.4600585271, 9.15509058541
C-ED/2271;Viale PIAVE N. 38 (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Viale PIAVE;38;2179;;rivendita in supermercato;No;3;9.20677384163824;45.4726188732503;45.4726188732503, 9.20677384163824
C-ED/2272;Viale CASSALA N. 22 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Viale CASSALA;22;5275;;rivendita in supermercato;No;6;9.16356793105;45.4443041302;45.4443041302, 9.16356793105
C-ED/2274;Viale PAPINIANO N. 27 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Viale PAPINIANO;27;5097;;rivendita in supermercato;No;1;9.16775691476;45.4596727672;45.4596727672, 9.16775691476
C-ED/531;Piazza DE MEIS CAMILLO N. 2 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Piazza DE MEIS CAMILLO;2;6209;;edicola su suolo pubblico;Si;7;9.16365836213;45.4636402755;45.4636402755, 9.16365836213
C-ED/534;Viale MONZA num.043/b| (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Viale MONZA;;2274;NUM.043/B|;edicola su suolo pubblico;Si;;;;
C-ED/535;Piazza GRANDI GIUSEPPE ang. via piolti de bianchi (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Piazza GRANDI GIUSEPPE;;3112;ang. Via Piolti de Bianchi;edicola su suolo pubblico;Si;;;;
C-ED/539;Via GRAZIANO N. 48 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via GRAZIANO;48;1524;;edicola su suolo pubblico;Si;9;9.19142516306;45.5147067161;45.5147067161, 9.19142516306
C-ED/542;Piazza BOTTINI ENRICO N. 4 (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Piazza BOTTINI ENRICO;4;2572;;edicola su suolo pubblico;Si;3;9.23612110637;45.4841563131;45.4841563131, 9.23612110637
C-ED/544;Piazza OBERDAN GUGLIELMO N. 3 ang. via tadino (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Piazza OBERDAN GUGLIELMO;3;2108;ang. via tadino;edicola su suolo pubblico;Si;3;9.20479540117;45.475259977;45.475259977, 9.20479540117
C-ED/549;Piazzale LOTTO LORENZO N. 2 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Piazzale LOTTO LORENZO;2;6539;;edicola su suolo pubblico;Si;8;9.14400477999;45.4792114872;45.4792114872, 9.14400477999
C-ED/550;Via GRIGNA angolo viale monte ceneri| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via GRIGNA;;7239;angolo viale monte ceneri|;;Si;;;;
C-ED/553;Via COMMENDA (DELLA) fr.civ. 3 ang. via s. barnaba| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via COMMENDA (DELLA);;3146;fr.civ. 3 ang. via s. Barnaba|;edicola su suolo pubblico;Si;;;;
C-ED/554;Via BUONARROTI MICHELANGELO N. 14 angolo piazza wagner| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via BUONARROTI MICHELANGELO;14;6253;angolo piazza wagner|;edicola su suolo pubblico;Si;7;9.15559442816;45.468859261;45.468859261, 9.15559442816
C-ED/555;Largo ZANDONAI RICCARDO N. 3 angolo via panzini| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Largo ZANDONAI RICCARDO;3;6485;angolo via panzini|;edicola su suolo pubblico;Si;8;9.15978965652;45.470926866;45.470926866, 9.15978965652
C-ED/557;Viale CORSICA N. 38 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Viale CORSICA;38;3262;;edicola su suolo pubblico;Si;4;9.228213297;45.4619841733;45.4619841733, 9.228213297
C-ED/561;codvia 9310 mm3 turati| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;;;;CODVIA 9310 mm3 turati|;rivendita in stazione metrop.;Si;;;;
C-ED/562;Via SOLARI ANDREA num.037 angolo via stendhal| (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via SOLARI ANDREA;;5111;NUM.037 angolo via stendhal|;edicola su suolo pubblico;Si;;;;
C-ED/141;Viale MONTE NERO N. 14 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Viale MONTE NERO;14;3062;;rivendita in negozio;Si;4;9.20377929266;45.4537866615;45.4537866615, 9.20377929266
C-ED/145;Via PAGLIANO ELEUTERIO num.001/b| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via PAGLIANO ELEUTERIO;;6390;NUM.001/B|;rivendita in negozio;Si;;;;
C-ED/676;Via MARGHERITA (SANTA) N. 3 (passaggio santa margherita) (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via MARGHERITA (SANTA);3;108;(passaggio santa margherita);edicola su suolo pubblico;Si;1;9.18838724612;45.4660550557;45.4660550557, 9.18838724612
C-ED/679;PIAZZA GOBETTI PIETRO N. 2 (z.d. 3);AREE PUBBLICHE - Giornali e riviste;PIAZZA GOBETTI PIETRO;2;2561;;edicola su suolo pubblico;Si;3;9.23316603796;45.4859555414;45.4859555414, 9.23316603796
C-ED/680;Via GRASSI GIOVANNI BATTISTA N. 89 p.le antist.ospedale l. sacco| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via GRASSI GIOVANNI BATTISTA;89;7465;p.le antist.ospedale l. sacco|;edicola su suolo pubblico;Si;8;9.11798980808;45.5187687915;45.5187687915, 9.11798980808
C-ED/681;Via CASTELBARCO GIAN CARLO N. 5 (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Via CASTELBARCO GIAN CARLO;5;4201;;edicola su suolo pubblico;Si;5;9.18640680688;45.4491850583;45.4491850583, 9.18640680688
C-ED/683;PIAZZALE BAIAMONTI ANTONIO ang. via farini| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;PIAZZALE BAIAMONTI ANTONIO;;7235;ang. via farini|;edicola su suolo pubblico;Si;;;;
C-ED/685;Via LARGA N. 31 ang. chiaravalle| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via LARGA;31;318;ang. chiaravalle|;edicola su suolo pubblico;Si;1;9.19147767047;45.4606118931;45.4606118931, 9.19147767047
C-ED/687;Piazza BABILA (SAN) num.000 angolo corso matteotti| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Piazza BABILA (SAN);;216;NUM.000 angolo corso matteotti|;edicola su suolo pubblico;Si;;;;
C-ED/688;Corso VENEZIA N. 51 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Corso VENEZIA;51;238;;edicola su suolo pubblico;Si;1;9.20174863078;45.4714322253;45.4714322253, 9.20174863078
C-ED/689;Viale LEGIONI ROMANE N. 26 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Viale LEGIONI ROMANE;26;6649;;edicola su suolo pubblico;Si;6;9.13238575168;45.4603968821;45.4603968821, 9.13238575168
C-ED/690;Viale ROMAGNA num.000 fr.civ.18 ang. via b. angelico| (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Viale ROMAGNA;;3102;NUM.000 fr.civ.18 ang. via b. angelico|;edicola su suolo pubblico;Si;;;;
C-ED/692;Viale MOLISE N. 51 angolo via sanfelice| (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Viale MOLISE;51;3178;angolo via sanfelice|;edicola su suolo pubblico;Si;4;9.22355342329;45.4567757052;45.4567757052, 9.22355342329
C-ED/696;Via POLIZIANO N. 7 ang. via p. della francesca| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via POLIZIANO;7;7196;ang. via p. della francesca|;edicola su suolo pubblico;Si;8;9.16444606722;45.4833102345;45.4833102345, 9.16444606722
C-ED/697;Piazza MADONNA DELLA PROVVIDENZA N. 1 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Piazza MADONNA DELLA PROVVIDENZA;1;6851;;edicola su suolo pubblico;Si;7;9.08945473203;45.4762734979;45.4762734979, 9.08945473203
C-ED/698;PIAZZA FIDIA ang. via m. rosso (z.d. 9);AREE PUBBLICHE - Giornali e riviste;PIAZZA FIDIA;;1144;ang. Via M. Rosso;edicola su suolo pubblico;Si;;;;
C-ED/702;Piazza BUOZZI BRUNO N. 5 ang. corso lodi (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Piazza BUOZZI BRUNO;5;4221;ang. Corso Lodi;edicola su suolo pubblico;Si;4;9.20679562973;45.4496529467;45.4496529467, 9.20679562973
C-ED/704;Via GALLARATE N. 105 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via GALLARATE;105;7420;;edicola su suolo pubblico;Si;8;9.13370178473;45.4962175411;45.4962175411, 9.13370178473
C-ED/1883;Piazza SEI FEBBRAIO num.000| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Piazza SEI FEBBRAIO;;6358;NUM.000|;edicola su suolo pubblico;Si;;;;
C-ED/1886;Via WASHINGTON GIORGIO N. 33 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via WASHINGTON GIORGIO;33;6111;;edicola su suolo pubblico;Si;7;9.1552346937;45.4626173079;45.4626173079, 9.1552346937
C-ED/1920;CORSO GARIBALDI GIUSEPPE N. 83 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;CORSO GARIBALDI GIUSEPPE;83;1010;;edicola su suolo pubblico;Si;1;9.1838188993;45.476435024;45.476435024, 9.1838188993
C-ED/1939;Via PAPI LAZZARO N. 17 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via PAPI LAZZARO;17;4071;;rivendita in negozio;Si;4;9.20741570726;45.4513044059;45.4513044059, 9.20741570726
C-ED/2276;Viale CERTOSA N. 59 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Viale CERTOSA;59;7174;;rivendita in supermercato;No;8;9.1487874019;45.4910742275;45.4910742275, 9.1487874019
C-ED/2278;Viale VIGLIANI PAOLO ONORATO n. 59 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Viale VIGLIANI PAOLO ONORATO;;6422;N. 59;rivendita in supermercato;No;;;;
C-ED/2279;Via POLLAK LEOPOLDO N. 8 ang. via novara| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via POLLAK LEOPOLDO;8;6853;ang. via novara|;rivendita in supermercato;No;7;9.12019568377;45.4727922293;45.4727922293, 9.12019568377
C-ED/2289;Via HOEPLI ULRICO N. 5 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via HOEPLI ULRICO;5;190;;rivendita in negozio;No;1;9.1924743083;45.4664913841;45.4664913841, 9.1924743083
C-ED/2292;Via GOZZOLI BENOZZO N. 130 int. centro comm. la torre| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via GOZZOLI BENOZZO;130;6789;int. centro comm. la torre|;rivendita in supermercato;No;7;9.0971032272;45.4507280124;45.4507280124, 9.0971032272
C-ED/2293;Via QUARENGHI GIACOMO N. 23 all'interno del centro commerciale bonola (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via QUARENGHI GIACOMO;23;7478;all'interno del Centro Commerciale Bonola;rivendita in supermercato;No;8;9.11479754273;45.495837865;45.495837865, 9.11479754273
C-ED/2294;Via MARCHESI POMPEO 5 ang. via fr.lli zoia| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via MARCHESI POMPEO;;6304;5 ang. Via Fr.lli Zoia|;rivendita in supermercato;No;;;;
C-ED/2304;Via PRINCIPE EUGENIO N. 27 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via PRINCIPE EUGENIO;27;7223;;edicola su suolo pubblico;Si;8;9.16499454025;45.4902950994;45.4902950994, 9.16499454025
