Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;Localita;forma_vendita_edicole;vendita_esclusiva;MUNICIPIO;LONGIT;LATIT;Location
C-ED/339;VIA AMPERE ANDREA MARIA N. 83 ang. via porpora 104| (z.d. 3);AREE PUBBLICHE - Giornali e riviste;VIA AMPERE ANDREA MARIA;83;2428;ang. via porpora 104|;edicola su suolo pubblico;Si;3;9.22629132761;45.4856497685;45.4856497685, 9.22629132761
C-ED/341;Piazza SALGARI EMILIO N. 1 ang. via venosa| (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Piazza SALGARI EMILIO;1;4087;ang. Via Venosa|;;Si;4;9.2205085449;45.4505666151;45.4505666151, 9.2205085449
C-ED/343;Piazzale GIULIO CESARE N. 5 angolo buonarroti| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Piazzale GIULIO CESARE;5;6361;angolo buonarroti|;;Si;8;9.15448992008;45.473037936;45.473037936, 9.15448992008
C-ED/344;Largo SETTIMIO SEVERO N. 1 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Largo SETTIMIO SEVERO;1;6210;;edicola su suolo pubblico;Si;7;9.16244108356;45.4661141481;45.4661141481, 9.16244108356
C-ED/345;Via PLINIO CAIO SECONDO ang. via morgagni (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Via PLINIO CAIO SECONDO;;2144;ang. via morgagni;edicola su suolo pubblico;Si;;;;
C-ED/347;Via PACINI GIOVANNI N. 60 ang.bardelli-astolfo| (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Via PACINI GIOVANNI;60;2571;ang.bardelli-astolfo|;edicola su suolo pubblico;Si;3;9.23368815099;45.4836168622;45.4836168622, 9.23368815099
C-ED/348;Largo CAIROLI ang. via camperio (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Largo CAIROLI;;710;ang. via camperio;edicola su suolo pubblico;Si;;;;
C-ED/76;Via GOVONE GIUSEPPE N. 19 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via GOVONE GIUSEPPE;19;7222;;rivendita in negozio;Si;8;9.16818568303;45.4885518278;45.4885518278, 9.16818568303
C-ED/79;Via IMBONATI CARLO N. 4 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via IMBONATI CARLO;4;1311;;rivendita in negozio;Si;9;9.18435271574;45.4987866498;45.4987866498, 9.18435271574
C-ED/81;Viale UMBRIA N. 109 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Viale UMBRIA;109;3145;;rivendita in negozio;Si;4;9.21707006492;45.4580997023;45.4580997023, 9.21707006492
C-ED/85;Via PRESTINARI MARCELLO N. 6 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via PRESTINARI MARCELLO;6;1269;;rivendita in negozio;Si;9;9.16688110965;45.50067533;45.50067533, 9.16688110965
C-ED/86;Via CALIFORNIA N. 23 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via CALIFORNIA;23;6101;;rivendita in negozio;Si;6;9.16175126556;45.4572492254;45.4572492254, 9.16175126556
C-ED/90;Viale ZARA N. 118 (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Viale ZARA;118;1170;;rivendita in negozio;Si;2;9.19683288106;45.4988944431;45.4988944431, 9.19683288106
C-ED/351;Viale GIOVANNI DA CERMENATE parterre centrale| (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Viale GIOVANNI DA CERMENATE;;5261;parterre centrale|;edicola su suolo pubblico;Si;;;;
C-ED/353;Via LIVIGNO N. 6 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via LIVIGNO;6;1296;;edicola su suolo pubblico;Si;9;9.17869667096;45.4983968281;45.4983968281, 9.17869667096
C-ED/355;Piazza STUPARICH CARLO N. 2 fronte via albani| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Piazza STUPARICH CARLO;2;6468;fronte via albani|;edicola su suolo pubblico;Si;8;9.14341710186;45.4823464337;45.4823464337, 9.14341710186
